"species","beta_.Intercept.","beta_ultramafic","beta_bio1","beta_bio4","beta_bio12","beta_bio15","beta_cwd","beta_.bio1.2.","beta_.bio4.2.","beta_.bio12.2.","beta_.bio15.2.","beta_.cwd.2.","beta_.log.aire..","lambda_1","lambda_2"
"Canarium.oleiferum",-0.146915797706875,0.47084164793898,0.768485109841444,-0.46699183177587,-0.247880033043605,0.30164263422902,0.97373261557821,0.62604866702701,-0.758727200107356,-0.630381134329996,0.15436873978141,-0.0505673097296602,0.254634491258663,-0.74253841759002,0.752470856396756
"Cryptocarya.pluricostata",-0.0969342156784553,-1.24730420442877,0.950225310682245,-0.431148869567542,-0.537866425242841,0.508759180169042,0.426984349245444,1.05924534504997,-0.507570788079714,0.0213422280307652,0.606602256377967,0.0366872343851724,0.254948032102268,-1.21837340396169,-0.241102073802265
"Tristaniopsis.calobuxus",-1.43383344165469,-0.844721840145324,0.946572903799366,-0.752188968707551,-0.560059864000802,-0.655041353767439,0.878664699041678,0.913730148604074,-0.794113616775634,-0.575118661693493,-0.541265073756352,0.916545941950746,0.248028342364352,1.95129021696884,-0.582436330159306
"Didymocheton.rufescens..Sebert...Pancher..Harms.subsp..rufescens",0.116628035118629,-0.733059899680876,0.68574010717302,-0.907751098535455,-0.523822859745208,0.191832632112208,0.385505150972616,0.671256257389612,-0.784258147908529,-0.708622109691968,0.197417662531815,0.736407172418221,0.270481026147468,-0.784596572050955,0.100502226160655
"Montrouziera.gabriellae",-1.27820702311241,0.950840073780329,0.950856078092772,-0.278628993610953,-0.0882560311039754,0.143106112425618,0.740730526176915,0.805110279529052,-0.458117513318338,0.262617804343475,0.148695457016826,0.823140827810965,0.253457148143055,0.490942431670535,0.72612082371239
"Pterophylla.serrata",-0.72079259613751,-0.904893183249509,1.05939536444469,-0.757676704572942,-0.789040736649448,0.63298036867519,-1.67289460113201,0.768337097400299,-0.771756187874229,-1.11561215248995,0.641529073239254,-0.576363450177674,0.258982191442529,0.121542640388222,-0.794429131918356
"Sparattosyce.dioica",-1.17881349797289,1.08505901862008,0.623235385973157,-0.422498826138361,-0.375107678310131,0.316074946295059,0.428811684938715,0.825733720728032,-0.121823031745682,-0.340275773191228,0.340263546213815,0.143236844703625,0.255818057422695,-1.77276170113612,0.640316095347592
"Cupaniopsis.macrocarpa",-0.00598618247877559,-0.31112586238859,1.08147933729086,-0.564126804582928,-0.42721987643446,0.646546721628575,-0.551087017018847,0.877730425504011,-0.766479377678972,-0.205313056262748,0.514686028251733,-0.0773159899231672,0.251929541208133,-0.629829279874659,-1.03022150898493
"Hugonia.penicillanthemum",-1.31898641428081,-0.261446058303712,0.632518018846827,-0.292241289062371,-0.742511278498592,-0.164789907385767,0.880115579082729,0.560637036471931,-0.329478142942286,-0.792094302213914,-0.257140717909903,0.625747208746179,0.246884369926605,0.584310423914171,0.529172422456667
"Gardenia.aubryi",-0.778521817445899,0.215222662506159,0.680240692612052,-0.926860228976202,-0.443449326888422,0.439019693001799,-0.139662821423302,0.842350539003391,-0.89089045695688,-0.91417933211379,0.427835082435606,-0.281127238187309,0.241719414428053,-0.862868876387846,1.15354623355631
"Gastrolepis.austrocaledonica",-0.0585485625392823,0.27383018117525,0.686102212038123,-0.433104106450847,0.185902161775561,0.0211430912345421,0.640002595378607,0.71881211399723,-0.563533319585676,-0.538726215003812,0.215250304233036,-0.216605344067824,0.260280115280552,0.312171803573706,1.27799644152203
"Nothofagus.balansae",-1.49546821902197,-0.123352429127177,0.688472862712764,-0.345477898437432,-0.488783678883838,0.146298654641862,0.602946724113734,0.657514922868066,-0.275612026707287,-0.417323484177926,0.236594159745085,0.35155011569493,0.26244304661732,1.0018026295413,0.879504086871325
"Elattostachys.apetala",-0.0102946282161335,-1.81530400886786,1.14579793006491,-0.0709557193293988,-0.230106803331295,0.0986141702438078,0.762113438166959,1.28677137900866,-0.127858076163188,-0.944726288564184,0.247237428882213,-0.169802898192361,0.270135246109405,-1.62471012408507,-0.301016947744137
"Pancheria.gatopensis",-1.45911923661692,-0.240518500599599,0.268777849821784,-0.727358787705737,-0.706022985447679,-0.000829774641547715,0.947852733401407,0.274470826628791,-0.718110169512711,-0.76382051273439,-0.0354839091757372,0.374242000303201,0.244549461594788,-0.165093044353253,0.639340020800031
"Planchonella.reticulata",-1.2298508072791,-0.640325291926632,0.663713887379221,-0.542432699585662,-0.690900400439282,-0.318905108761672,0.329041299284718,0.749577172599113,-0.496162125325777,-0.901192923570489,-0.307700474112523,0.512969593037406,0.242083741487818,0.767450722328807,0.987902030878636
"Austrobuxus.cuneatus",-1.04143259656499,-0.83265755458268,0.570937964186589,-0.502421794699871,-0.363672178803791,-0.1128528329586,0.31446026230082,0.603222143896255,-0.582720944161932,-0.616190982683627,-0.0973191383253494,0.626563953200175,0.229715756890646,0.764917271136024,1.92377614473654
"Syzygium.pancheri",-0.51370754864981,-0.246824201479964,0.429927226507728,-0.957267470203482,-0.264467721640456,0.226165978700132,0.417334202442387,0.56028621146443,-0.785757986129651,-0.235712136963044,0.532473070392008,0.151464878467252,0.235761596606706,-0.163553583213889,0.4173355478054
